country,year,decade,renewables_pct,fossil_pct,gdp_per_capita,log_gdp_per_capita,energy_consumption
Algeria,2010,2010,0.108,99.892,12454.483527147233,9.42983595972668,438.995
Algeria,2011,2010,0.221,99.779,13061.913518639245,9.477455909604615,464.488
Algeria,2012,2010,0.211,99.789,13239.532863945105,9.490962546689195,507.672
Algeria,2013,2010,0.061,99.939,13338.131544120588,9.498382245500839,536.977
Algeria,2014,2010,0.11,99.89,13565.694044833783,9.515299388165587,585.613
Algeria,2015,2010,0.091,99.909,13781.315457418688,9.531069001362644,617.518
Algeria,2016,2010,0.137,99.863,13932.935151398437,9.54201075178556,616.996
Algeria,2017,2010,0.232,99.768,13843.811310609135,9.535593574975058,623.795
Algeria,2018,2010,0.271,99.729,13741.06548135135,9.528144108719689,669.62
Algeria,2019,2010,0.277,99.723,13625.38912060781,9.5196901784343,694.349
Algeria,2020,2020,0.283,99.717,12711.020466533675,9.450224649436844,648.899
Algeria,2021,2020,0.238,99.762,12932.073677860322,9.467465836158224,707.627
Algeria,2022,2020,0.228,99.772,13101.456657946803,9.480478698270623,734.248
Argentina,1965,1960,1.037,98.963,10233.2845798922,9.233400880715914,328.528
Argentina,1966,1960,1.017,98.983,10146.769038631955,9.2249106124779,339.175
Argentina,1967,1960,1.012,98.988,10260.469520830746,9.236053879941906,349.032
Argentina,1968,1960,1.154,98.846,10534.789445836777,9.262438339881637,360.844
Argentina,1969,1960,1.001,98.999,11260.567561665213,9.32906230554463,372.911
Argentina,1970,1970,1.274,98.726,11679.935539336293,9.365627737474549,353.487
Argentina,1971,1970,1.196,98.804,12055.750196024177,9.397297019788427,374.742
Argentina,1972,1970,1.163,98.837,12236.89697647313,9.412211008931934,379.448
Argentina,1973,1970,2.15,97.85,12774.009395349925,9.455167869626973,396.458
Argentina,1974,1970,3.419,95.881,13380.53036653356,9.501555971651001,412.278
Argentina,1975,1970,3.644,94.615,13049.959276080881,9.476540292139141,402.571
Argentina,1976,1970,3.349,94.957,12816.28140026045,9.458471626016252,422.714
Argentina,1977,1970,3.683,95.284,13375.79295871835,9.501201856639971,441.458
